scenario_type,error_type,count
contract,true_negative,212
contract,true_positive,38
customer_support,false_negative,1
customer_support,true_negative,195
customer_support,true_positive,54
employee_record,true_negative,191
employee_record,true_positive,59
expense_report,true_negative,212
expense_report,true_positive,38
general_document,false_positive,1
general_document,true_negative,216
general_document,true_positive,33
incident_report,true_negative,216
incident_report,true_positive,34
internal_email,false_negative,1
internal_email,true_negative,196
internal_email,true_positive,53
invoice,true_negative,201
invoice,true_positive,49
it_access_request,true_negative,214
it_access_request,true_positive,36
medical_record,true_negative,205
medical_record,true_positive,45
meeting_notes,true_negative,220
meeting_notes,true_positive,30
passport_record,true_negative,191
passport_record,true_positive,59
supplier_onboarding,false_positive,1
supplier_onboarding,true_negative,194
supplier_onboarding,true_positive,55
training_evaluation,true_negative,205
training_evaluation,true_positive,45
