document_id,scenario_type,variant,language,contains_personal_data,entity_types,recommended_split,difficulty,edge_case,challenge_category,scenario_seed,row_seed
SYN-CONTRACT-0001,contract,contract_excerpt,en,no,,validation,easy,False,none,42,420001
SYN-CONTRACT-0002,contract,contract_excerpt,en,no,,train,easy,False,none,42,420002
SYN-CONTRACT-0003,contract,amendment,de,no,,train,easy,False,none,42,420003
SYN-CONTRACT-0004,contract,amendment,en,no,,train,easy,False,none,42,420004
SYN-CONTRACT-0005,contract,amendment,en,yes,PERSON,validation,easy,False,none,42,420005
SYN-CONTRACT-0006,contract,signature_section,en,yes,PERSON;IBAN_CODE,train,easy,False,none,42,420006
SYN-CONTRACT-0007,contract,signature_section,de,no,,train,easy,False,none,42,420007
SYN-CONTRACT-0008,contract,contract_excerpt,de,no,,train,easy,False,none,42,420008
SYN-CONTRACT-0009,contract,contract_excerpt,de,no,,train,easy,False,none,42,420009
SYN-CONTRACT-0010,contract,amendment,en,no,,validation,easy,False,none,42,420010
SYN-CONTRACT-0011,contract,contract_excerpt,de,no,,train,easy,False,none,42,420011
SYN-CONTRACT-0012,contract,contract_excerpt,en,no,,validation,easy,False,none,42,420012
SYN-CONTRACT-0013,contract,amendment,de,no,,train,easy,False,none,42,420013
SYN-CONTRACT-0014,contract,amendment,de,yes,PERSON,train,easy,False,none,42,420014
SYN-CONTRACT-0015,contract,signature_section,en,no,,test,easy,False,none,42,420015
SYN-CONTRACT-0016,contract,amendment,en,no,,train,easy,False,none,42,420016
SYN-CONTRACT-0017,contract,contract_excerpt,en,yes,PERSON;IBAN_CODE,train,easy,False,none,42,420017
SYN-CONTRACT-0018,contract,signature_section,de,no,,train,easy,False,none,42,420018
SYN-CONTRACT-0019,contract,contract_excerpt,de,no,,train,easy,False,none,42,420019
SYN-CONTRACT-0020,contract,signature_section,en,no,,test,easy,False,none,42,420020
SYN-CONTRACT-0021,contract,signature_section,en,no,,train,easy,False,none,42,420021
SYN-CONTRACT-0022,contract,contract_excerpt,en,no,,test,easy,False,none,42,420022
SYN-CONTRACT-0023,contract,amendment,en,no,,validation,easy,False,none,42,420023
SYN-CONTRACT-0024,contract,amendment,en,no,,test,easy,False,none,42,420024
SYN-CONTRACT-0025,contract,amendment,en,no,,train,easy,False,none,42,420025
SYN-CONTRACT-0026,contract,signature_section,en,no,,train,easy,False,none,42,420026
SYN-CONTRACT-0027,contract,signature_section,en,no,,test,easy,False,none,42,420027
SYN-CONTRACT-0028,contract,contract_excerpt,de,no,,train,easy,False,none,42,420028
SYN-CONTRACT-0029,contract,amendment,en,no,,train,easy,False,none,42,420029
SYN-CONTRACT-0030,contract,signature_section,de,yes,PERSON;IBAN_CODE,test,easy,False,none,42,420030
SYN-CONTRACT-0031,contract,amendment,en,no,,train,easy,False,none,42,420031
SYN-CONTRACT-0032,contract,contract_excerpt,de,no,,validation,easy,False,none,42,420032
SYN-CONTRACT-0033,contract,amendment,de,no,,test,easy,False,none,42,420033
SYN-CONTRACT-0034,contract,signature_section,de,no,,test,easy,False,none,42,420034
SYN-CONTRACT-0035,contract,signature_section,en,no,,train,easy,False,none,42,420035
SYN-CONTRACT-0036,contract,contract_excerpt,en,yes,PERSON;DATE_TIME,test,easy,False,none,42,420036
SYN-CONTRACT-0037,contract,contract_excerpt,de,no,,train,easy,False,none,42,420037
SYN-CONTRACT-0038,contract,amendment,en,no,,validation,easy,False,none,42,420038
SYN-CONTRACT-0039,contract,signature_section,en,no,,validation,easy,False,none,42,420039
SYN-CONTRACT-0040,contract,signature_section,en,no,,train,easy,False,none,42,420040
SYN-CONTRACT-0041,contract,amendment,de,yes,PERSON;DATE_TIME,train,easy,False,none,42,420041
SYN-CONTRACT-0042,contract,contract_excerpt,de,yes,PERSON,train,easy,False,none,42,420042
SYN-CONTRACT-0043,contract,signature_section,de,no,,train,easy,False,none,42,420043
SYN-CONTRACT-0044,contract,amendment,en,yes,PERSON;EMAIL_ADDRESS,train,easy,False,none,42,420044
SYN-CONTRACT-0045,contract,contract_excerpt,en,yes,PERSON;IBAN_CODE,train,easy,False,none,42,420045
SYN-CONTRACT-0046,contract,signature_section,de,no,,train,easy,False,none,42,420046
SYN-CONTRACT-0047,contract,amendment,de,no,,train,easy,False,none,42,420047
SYN-CONTRACT-0048,contract,amendment,de,no,,train,easy,False,none,42,420048
SYN-CONTRACT-0049,contract,amendment,en,no,,validation,easy,False,none,42,420049
SYN-CONTRACT-0050,contract,signature_section,de,no,,train,easy,False,none,42,420050
SYN-CONTRACT-0051,contract,contract_excerpt,de,yes,PERSON,train,easy,False,none,42,420051
SYN-CONTRACT-0052,contract,contract_excerpt,de,yes,PERSON;LOCATION,validation,easy,False,none,42,420052
SYN-CONTRACT-0053,contract,contract_excerpt,de,no,,test,easy,False,none,42,420053
SYN-CONTRACT-0054,contract,contract_excerpt,de,no,,test,easy,False,none,42,420054
SYN-CONTRACT-0055,contract,signature_section,de,no,,train,easy,False,none,42,420055
SYN-CONTRACT-0056,contract,signature_section,en,no,,train,easy,False,none,42,420056
SYN-CONTRACT-0057,contract,signature_section,en,no,,train,easy,False,none,42,420057
SYN-CONTRACT-0058,contract,signature_section,en,no,,train,easy,False,none,42,420058
SYN-CONTRACT-0059,contract,signature_section,en,no,,train,easy,False,none,42,420059
SYN-CONTRACT-0060,contract,contract_excerpt,de,no,,train,easy,False,none,42,420060
SYN-CONTRACT-0061,contract,amendment,en,no,,train,easy,False,none,42,420061
SYN-CONTRACT-0062,contract,signature_section,en,no,,train,easy,False,none,42,420062
SYN-CONTRACT-0063,contract,signature_section,de,no,,test,easy,False,none,42,420063
SYN-CONTRACT-0064,contract,contract_excerpt,en,no,,validation,easy,False,none,42,420064
SYN-CONTRACT-0065,contract,signature_section,en,no,,train,easy,False,none,42,420065
SYN-CONTRACT-0066,contract,contract_excerpt,en,no,,validation,easy,False,none,42,420066
SYN-CONTRACT-0067,contract,contract_excerpt,en,no,,validation,easy,False,none,42,420067
SYN-CONTRACT-0068,contract,contract_excerpt,en,yes,PERSON;DATE_TIME,train,easy,False,none,42,420068
